x	y
24.05	1.42705
24.04	1.42706
24.03	1.42707
24.02	1.42708
24.01	1.42709
24	1.42709
23.99	1.4271
23.98	1.42711
23.97	1.42712
23.96	1.42712
23.95	1.42713
23.94	1.42714
23.93	1.42715
23.92	1.42716
23.91	1.42716
23.9	1.42717
23.89	1.42718
23.88	1.42719
23.87	1.4272
23.86	1.4272
23.85	1.42721
23.84	1.42722
23.83	1.42723
23.82	1.42724
23.81	1.42724
23.8	1.42725
23.79	1.42726
23.78	1.42727
23.77	1.42727
23.76	1.42728
23.75	1.42729
23.74	1.4273
23.73	1.42731
23.72	1.42731
23.71	1.42732
23.7	1.42733
23.69	1.42734
23.68	1.42735
23.67	1.42736
23.66	1.42736
23.65	1.42737
23.64	1.42738
23.63	1.42739
23.62	1.4274
23.61	1.4274
23.6	1.42741
23.59	1.42742
23.58	1.42743
23.57	1.42744
23.56	1.42744
23.55	1.42745
23.54	1.42746
23.53	1.42747
23.52	1.42748
23.51	1.42748
23.5	1.42749
23.49	1.4275
23.48	1.42751
23.47	1.42752
23.46	1.42753
23.45	1.42753
23.44	1.42754
23.43	1.42755
23.42	1.42756
23.41	1.42757
23.4	1.42757
23.39	1.42758
23.38	1.42759
23.37	1.4276
23.36	1.42761
23.35	1.42762
23.34	1.42762
23.33	1.42763
23.32	1.42764
23.31	1.42765
23.3	1.42766
23.29	1.42767
23.28	1.42767
23.27	1.42768
23.26	1.42769
23.25	1.4277
23.24	1.42771
23.23	1.42772
23.22	1.42772
23.21	1.42773
23.2	1.42774
23.19	1.42775
23.18	1.42776
23.17	1.42777
23.16	1.42777
23.15	1.42778
23.14	1.42779
23.13	1.4278
23.12	1.42781
23.11	1.42782
23.1	1.42782
23.09	1.42783
23.08	1.42784
23.07	1.42785
23.06	1.42786
23.05	1.42787
23.04	1.42788
23.03	1.42788
23.02	1.42789
23.01	1.4279
23	1.42791
22.99	1.42792
22.98	1.42793
22.97	1.42794
22.96	1.42794
22.95	1.42795
22.94	1.42796
22.93	1.42797
22.92	1.42798
22.91	1.42799
22.9	1.428
22.89	1.428
22.88	1.42801
22.87	1.42802
22.86	1.42803
22.85	1.42804
22.84	1.42805
22.83	1.42806
22.82	1.42806
22.81	1.42807
22.8	1.42808
22.79	1.42809
22.78	1.4281
22.77	1.42811
22.76	1.42812
22.75	1.42813
22.74	1.42813
22.73	1.42814
22.72	1.42815
22.71	1.42816
22.7	1.42817
22.69	1.42818
22.68	1.42819
22.67	1.42819
22.66	1.4282
22.65	1.42821
22.64	1.42822
22.63	1.42823
22.62	1.42824
22.61	1.42825
22.6	1.42826
22.59	1.42827
22.58	1.42827
22.57	1.42828
22.56	1.42829
22.55	1.4283
22.54	1.42831
22.53	1.42832
22.52	1.42833
22.51	1.42834
22.5	1.42835
22.49	1.42835
22.48	1.42836
22.47	1.42837
22.46	1.42838
22.45	1.42839
22.44	1.4284
22.43	1.42841
22.42	1.42842
22.41	1.42843
22.4	1.42843
22.39	1.42844
22.38	1.42845
22.37	1.42846
22.36	1.42847
22.35	1.42848
22.34	1.42849
22.33	1.4285
22.32	1.42851
22.31	1.42852
22.3	1.42853
22.29	1.42853
22.28	1.42854
22.27	1.42855
22.26	1.42856
22.25	1.42857
22.24	1.42858
22.23	1.42859
22.22	1.4286
22.21	1.42861
22.2	1.42862
22.19	1.42863
22.18	1.42863
22.17	1.42864
22.16	1.42865
22.15	1.42866
22.14	1.42867
22.13	1.42868
22.12	1.42869
22.11	1.4287
22.1	1.42871
22.09	1.42872
22.08	1.42873
22.07	1.42874
22.06	1.42875
22.05	1.42875
22.04	1.42876
22.03	1.42877
22.02	1.42878
22.01	1.42879
22	1.4288
21.99	1.42881
21.98	1.42882
21.97	1.42883
21.96	1.42884
21.95	1.42885
21.94	1.42886
21.93	1.42887
21.92	1.42888
21.91	1.42889
21.9	1.42889
21.89	1.4289
21.88	1.42891
21.87	1.42892
21.86	1.42893
21.85	1.42894
21.84	1.42895
21.83	1.42896
21.82	1.42897
21.81	1.42898
21.8	1.42899
21.79	1.429
21.78	1.42901
21.77	1.42902
21.76	1.42903
21.75	1.42904
21.74	1.42905
21.73	1.42906
21.72	1.42907
21.71	1.42908
21.7	1.42908
21.69	1.42909
21.68	1.4291
21.67	1.42911
21.66	1.42912
21.65	1.42913
21.64	1.42914
21.63	1.42915
21.62	1.42916
21.61	1.42917
21.6	1.42918
21.59	1.42919
21.58	1.4292
21.57	1.42921
21.56	1.42922
21.55	1.42923
21.54	1.42924
21.53	1.42925
21.52	1.42926
21.51	1.42927
21.5	1.42928
21.49	1.42929
21.48	1.4293
21.47	1.42931
21.46	1.42932
21.45	1.42933
21.44	1.42934
21.43	1.42935
21.42	1.42936
21.41	1.42937
21.4	1.42938
21.39	1.42939
21.38	1.4294
21.37	1.42941
21.36	1.42942
21.35	1.42943
21.34	1.42944
21.33	1.42945
21.32	1.42946
21.31	1.42947
21.3	1.42948
21.29	1.42949
21.28	1.4295
21.27	1.42951
21.26	1.42952
21.25	1.42953
21.24	1.42954
21.23	1.42955
21.22	1.42956
21.21	1.42957
21.2	1.42958
21.19	1.42959
21.18	1.4296
21.17	1.42961
21.16	1.42962
21.15	1.42963
21.14	1.42964
21.13	1.42965
21.12	1.42966
21.11	1.42967
21.1	1.42968
21.09	1.42969
21.08	1.4297
21.07	1.42971
21.06	1.42972
21.05	1.42973
21.04	1.42974
21.03	1.42975
21.02	1.42976
21.01	1.42977
21	1.42978
20.99	1.42979
20.98	1.4298
20.97	1.42981
20.96	1.42982
20.95	1.42983
20.94	1.42984
20.93	1.42985
20.92	1.42986
20.91	1.42987
20.9	1.42988
20.89	1.42989
20.88	1.4299
20.87	1.42991
20.86	1.42992
20.85	1.42993
20.84	1.42994
20.83	1.42995
20.82	1.42996
20.81	1.42997
20.8	1.42999
20.79	1.43
20.78	1.43001
20.77	1.43002
20.76	1.43003
20.75	1.43004
20.74	1.43005
20.73	1.43006
20.72	1.43007
20.71	1.43008
20.7	1.43009
20.69	1.4301
20.68	1.43011
20.67	1.43012
20.66	1.43013
20.65	1.43014
20.64	1.43015
20.63	1.43016
20.62	1.43017
20.61	1.43019
20.6	1.4302
20.59	1.43021
20.58	1.43022
20.57	1.43023
20.56	1.43024
20.55	1.43025
20.54	1.43026
20.53	1.43027
20.52	1.43028
20.51	1.43029
20.5	1.4303
20.49	1.43031
20.48	1.43032
20.47	1.43034
20.46	1.43035
20.45	1.43036
20.44	1.43037
20.43	1.43038
20.42	1.43039
20.41	1.4304
20.4	1.43041
20.39	1.43042
20.38	1.43043
20.37	1.43044
20.36	1.43045
20.35	1.43047
20.34	1.43048
20.33	1.43049
20.32	1.4305
20.31	1.43051
20.3	1.43052
20.29	1.43053
20.28	1.43054
20.27	1.43055
20.26	1.43056
20.25	1.43058
20.24	1.43059
20.23	1.4306
20.22	1.43061
20.21	1.43062
20.2	1.43063
20.19	1.43064
20.18	1.43065
20.17	1.43066
20.16	1.43068
20.15	1.43069
20.14	1.4307
20.13	1.43071
20.12	1.43072
20.11	1.43073
20.1	1.43074
20.09	1.43075
20.08	1.43076
20.07	1.43078
20.06	1.43079
20.05	1.4308
20.04	1.43081
20.03	1.43082
20.02	1.43083
20.01	1.43084
20	1.43085
19.99	1.43087
19.98	1.43088
19.97	1.43089
19.96	1.4309
19.95	1.43091
19.94	1.43092
19.93	1.43093
19.92	1.43095
19.91	1.43096
19.9	1.43097
19.89	1.43098
19.88	1.43099
19.87	1.431
19.86	1.43101
19.85	1.43103
19.84	1.43104
19.83	1.43105
19.82	1.43106
19.81	1.43107
19.8	1.43108
19.79	1.43109
19.78	1.43111
19.77	1.43112
19.76	1.43113
19.75	1.43114
19.74	1.43115
19.73	1.43116
19.72	1.43118
19.71	1.43119
19.7	1.4312
19.69	1.43121
19.68	1.43122
19.67	1.43123
19.66	1.43125
19.65	1.43126
19.64	1.43127
19.63	1.43128
19.62	1.43129
19.61	1.4313
19.6	1.43132
19.59	1.43133
19.58	1.43134
19.57	1.43135
19.56	1.43136
19.55	1.43138
19.54	1.43139
19.53	1.4314
19.52	1.43141
19.51	1.43142
19.5	1.43143
19.49	1.43145
19.48	1.43146
19.47	1.43147
19.46	1.43148
19.45	1.43149
19.44	1.43151
19.43	1.43152
19.42	1.43153
19.41	1.43154
19.4	1.43155
19.39	1.43157
19.38	1.43158
19.37	1.43159
19.36	1.4316
19.35	1.43161
19.34	1.43163
19.33	1.43164
19.32	1.43165
19.31	1.43166
19.3	1.43168
19.29	1.43169
19.28	1.4317
19.27	1.43171
19.26	1.43172
19.25	1.43174
19.24	1.43175
19.23	1.43176
19.22	1.43177
19.21	1.43179
19.2	1.4318
19.19	1.43181
19.18	1.43182
19.17	1.43183
19.16	1.43185
19.15	1.43186
19.14	1.43187
19.13	1.43188
19.12	1.4319
19.11	1.43191
19.1	1.43192
19.09	1.43193
19.08	1.43195
19.07	1.43196
19.06	1.43197
19.05	1.43198
19.04	1.432
19.03	1.43201
19.02	1.43202
19.01	1.43203
19	1.43205
18.99	1.43206
18.98	1.43207
18.97	1.43208
18.96	1.4321
18.95	1.43211
18.94	1.43212
18.93	1.43213
18.92	1.43215
18.91	1.43216
18.9	1.43217
18.89	1.43219
18.88	1.4322
18.87	1.43221
18.86	1.43222
18.85	1.43224
18.84	1.43225
18.83	1.43226
18.82	1.43227
18.81	1.43229
18.8	1.4323
18.79	1.43231
18.78	1.43233
18.77	1.43234
18.76	1.43235
