Significant	-Log(P-value)	Difference	PG.Genes	Symbol color	Symbol type	Symbol size	Show label	[1] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_hs_01.raw.PG.Quantity	[2] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_hs_02.raw.PG.Quantity	[3] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_hs_03.raw.PG.Quantity	[4] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_st_01.raw.PG.Quantity	[5] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_st_02.raw.PG.Quantity	[6] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_st_03.raw.PG.Quantity	[7] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_hs_01.raw.PG.Quantity	[8] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_hs_02.raw.PG.Quantity	[9] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_hs_03.raw.PG.Quantity	[10] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_st_01.raw.PG.Quantity	[11] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_st_02.raw.PG.Quantity	[12] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_st_03.raw.PG.Quantity	[13] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_hs_01.raw.PG.Quantity	[14] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_hs_02.raw.PG.Quantity	[15] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_hs_03.raw.PG.Quantity	[16] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_st_01.raw.PG.Quantity	[17] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_st_02.raw.PG.Quantity	[18] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_st_03.raw.PG.Quantity
	0	NaN	yfmR	Color2 [DarkGray]	1	4		14.3558502197266	12.8045043945313	14.9861726760864	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	0	NaN	yfmT	Color2 [DarkGray]	1	4		16.474536895752	16.8522987365723	16.6953468322754	17.5049953460693	17.4649982452393	17.4887866973877	19.6495685577393	19.6104393005371	19.6400547027588	14.7793502807617	15.1504602432251	14.6642484664917	NaN	NaN	NaN	NaN	NaN	NaN
	0	NaN	yfnG	Color2 [DarkGray]	1	4		16.8944416046143	17.4385013580322	17.3184623718262	19.7755641937256	19.4522151947021	19.5706768035889	NaN	NaN	NaN	17.2456970214844	17.5588569641113	17.151927947998	NaN	NaN	NaN	NaN	NaN	NaN
	0	NaN	gatA	Color2 [DarkGray]	1	4		21.7301559448242	21.6611232757568	21.6235466003418	21.8717708587646	21.7830257415771	21.818395614624	21.7958450317383	21.8172054290771	21.8561897277832	17.7069187164307	17.3950500488281	17.5576038360596	21.2778911590576	20.5013732910156	20.8102607727051	NaN	NaN	NaN
	0	NaN	gatC	Color2 [DarkGray]	1	4		14.0456972122192	12.9474306106567	15.176905632019	19.5624465942383	21.553258895874	19.9633865356445	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	0	NaN	yisK	Color2 [DarkGray]	1	4		16.0433959960938	16.0441360473633	16.1331844329834	NaN	NaN	NaN	NaN	NaN	NaN	16.4891319274902	16.704475402832	17.6068458557129	NaN	NaN	NaN	NaN	NaN	NaN
	0.266772083026958	-0.270231564839682	yitK	Color2 [DarkGray]	1	4		19.802755355835	18.8305931091309	19.8565406799316	14.9527759552002	15.270788192749	16.3834056854248	19.9236698150635	20.2028732299805	19.1790504455566	18.273193359375	18.0906009674072	19.1300411224365	11.7645578384399	12.8291463851929	12.3468141555786	12.5292453765869	13.0642137527466	12.157753944397
	0	NaN	yitL	Color2 [DarkGray]	1	4		18.5051765441895	18.8561477661133	18.7777538299561	18.3843059539795	19.0626678466797	19.9501361846924	20.7318210601807	20.701997756958	20.7593650817871	20.1082935333252	19.4189548492432	20.4795303344727	NaN	NaN	NaN	NaN	NaN	NaN
	0	NaN	yitQ	Color2 [DarkGray]	1	4		19.1874561309814	18.9818916320801	18.8703498840332	NaN	NaN	NaN	19.6003036499023	19.5557041168213	19.5564117431641	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	0	NaN	yvcI	Color2 [DarkGray]	1	4		15.7388067245483	15.7030200958252	17.3720836639404	NaN	NaN	NaN	19.5627250671387	19.2268295288086	19.3631286621094	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	0	NaN	mgfK	Color2 [DarkGray]	1	4		17.0341300964355	16.7232990264893	17.2289237976074	16.7586669921875	16.6094951629639	16.3989715576172	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	0	NaN	whiA	Color2 [DarkGray]	1	4		18.6146183013916	21.1574096679688	20.3444633483887	21.4219532012939	20.7695465087891	20.2004299163818	21.1005611419678	20.9286251068115	21.1036319732666	20.6381568908691	20.3386554718018	20.5660972595215	NaN	NaN	NaN	NaN	NaN	NaN
